"pkg","installed","version"
"copykat",FALSE,NA
"CaSpER",FALSE,NA
"liana",FALSE,NA
"nichenetr",FALSE,NA
"Seurat",TRUE,"4.0.2"
"SeuratObject",TRUE,"4.0.4"
"CellChat",TRUE,"1.6.1"
"scTenifoldKnk",FALSE,NA
"SingleCellExperiment",FALSE,NA
"scDblFinder",FALSE,NA
"ComplexHeatmap",TRUE,"2.6.2"
"msigdbr",FALSE,NA
"UCell",FALSE,NA
"limma",TRUE,"3.46.0"
"edgeR",FALSE,NA
"fgsea",TRUE,"1.16.0"
"clusterProfiler",TRUE,"3.18.1"
"org.Hs.eg.db",TRUE,"3.12.0"
"dplyr",TRUE,"1.0.6"
"tidyr",TRUE,"1.1.3"
"ggplot2",TRUE,"3.3.5"
"patchwork",TRUE,"1.1.1"
"pheatmap",TRUE,"1.0.13"
"remotes",TRUE,"2.4.0"
