dataset_id,dataset_role,patient_id,sample_id,n_macrophages,evaluable,SPP1_program_median_percentile,SPP1_relative_enrichment
"GSE147082","tumor_sensitivity_validation","PT-3232","PT-3232",100,TRUE,0.782352941176471,"RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-5150","PT-5150",101,TRUE,0.526050420168067,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-6885","PT-6885",159,TRUE,0.415126050420168,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-4806","PT-4806",8,FALSE,0.245378151260504,"NOT_EVALUABLE"
"GSE147082","tumor_sensitivity_validation","PT-3401","PT-3401",214,TRUE,0.46890756302521,"NOT_RELATIVELY_ENRICHED"
"GSE147082","tumor_sensitivity_validation","PT-2834","PT-2834",13,FALSE,0.613445378151261,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT01","FT01",46,TRUE,0.736904761904762,"RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT5414","FT5414",136,TRUE,0.179761904761905,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT03","FT03",122,TRUE,0.446428571428571,"NOT_RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23505","FT-SA23505",2,FALSE,0.179761904761905,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23510","FT-SA23510",61,TRUE,0.688095238095238,"RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23515","FT-SA23515",22,TRUE,0.830952380952381,"RELATIVELY_ENRICHED"
"GSE151214","normal_fallopian_tube_reference","FT-SA23513","FT-SA23513",7,FALSE,0.179761904761905,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23514","FT-SA23514",15,FALSE,0.747619047619048,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA23509","FT-SA23509",6,FALSE,0.642857142857143,"NOT_EVALUABLE"
"GSE151214","normal_fallopian_tube_reference","FT-SA24027","FT-SA24027",3,FALSE,0.65952380952381,"NOT_EVALUABLE"
"GSE154600","primary_tumor_ecosystem","T59","T59",2626,TRUE,0.561224489795919,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T76","T76",1172,TRUE,0.399248120300752,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T77","T77",338,TRUE,0.407411385606874,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T89","T89",424,TRUE,0.507626208378088,"NOT_RELATIVELY_ENRICHED"
"GSE154600","primary_tumor_ecosystem","T90","T90",95,TRUE,0.521160042964554,"NOT_RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time3",36,TRUE,0.293103448275862,"NOT_RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time2",5,FALSE,0.669950738916256,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P04","P04_Time1",7,FALSE,0.857142857142857,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P05","P05_Time1",3,FALSE,0.74384236453202,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P06","P06_Time3",3,FALSE,0.96551724137931,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P06","P06_Time2",3,FALSE,0.0320197044334975,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P07","P07_Time2",17,FALSE,0.315270935960591,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P07","P07_Time1",74,TRUE,0.467980295566503,"NOT_RELATIVELY_ENRICHED"
"GSE158722","malignant_fluid_tumor_ecosystem","P08","P08_Time2",1,FALSE,0.827586206896552,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P08","P08_Time1",2,FALSE,0.780788177339901,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P09","P09_Time3",8,FALSE,0.901477832512315,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P09","P09_Time2",2,FALSE,0.807881773399015,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P11","P11_Pre-treatment",2,FALSE,0.275862068965517,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P15","P15_Pre-treatment",6,FALSE,0.413793103448276,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P17","P17_Pre-treatment",10,FALSE,0.859605911330049,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P18","P18_Post-treatment",1,FALSE,0.773399014778325,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P19","P19_Post-treatment",2,FALSE,0.751231527093596,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P20","P20_Post-treatment",1,FALSE,0.497536945812808,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P23","P23_Post-treatment",19,FALSE,0.596059113300493,"NOT_EVALUABLE"
"GSE158722","malignant_fluid_tumor_ecosystem","P24","P24_Post-treatment",1,FALSE,0.310344827586207,"NOT_EVALUABLE"
"GSE154763","author_annotated_myeloid_reference","P20181225","OV-P20181225-T",2908,TRUE,0.491610738255034,"NOT_RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-T",245,TRUE,0.779743746186699,"RELATIVELY_ENRICHED"
"GSE154763","author_annotated_myeloid_reference","P20190304","OV-P20190304-N",125,TRUE,0.0442342892007322,"NOT_RELATIVELY_ENRICHED"
